id,post_date,post_status,post_title,post_content,post_excerpt,post_type,ping_status,comment_status,post_categories,actividad_destino
4265,06/06/14 18:29,publish,Viva! Restaurant Sports Bar," Hablar de cocina con pasiÌ_n, una fusiÌ_n de los penetrantes y delicados sabores del MediterrÌÁneo en conjunto con la gran variedad culinaria que ofrece la gastronomÌ_a Mexicana. Si! estamos hablando de ""Gourmeando"" en ‰ÛÏViva‰Û restaurante sport bar. Respetando tradiciones en donde excelencia esta en todos los platillos, teniendo fe y probando nuevas tÌ©cnicas e ingredientes que transformaran todas estas cocinas con alta preocupaciÌ_n a fin de alcanzar una fusiÌ_n perfecta. Una cocina saludable usando los mejores y frescos ingredientes buscando siempre entregar platillos espontÌÁneos en sus sabores y presentaciones.
Orgullosos de ofrecer un menÌ¼ fresco y Ì¼nico basado en los principios de diferentes cocinas, siendo profundamente comprometidos en el uso de productos locales, sustentables.
De nuestro bar podrÌÁ disfrutar de los mejores cocteles y de una gran variedad de bebidas hechas a su selecciÌ_n para disfrutar una cita, un encuentro casual o reuniÌ_n entre amigos despuÌ©s del trabajo. 
Ubicado frente al campo de prÌÁcticas de Golf, dos terrazas, una en la planta principal y la segunda se encuentra en la parte superior, con una vista hacia el campo de golf inigualable, donde los sentidos se extasÌ_an del color verde del campo mezclÌÁndose con los colores particulares del desierto de Baja, sin olvidar los frescos aires llenos de iodo que llegan del mar, refrescando y dÌÁndole un sentido de placer a su estancia.",,actividades,closed,closed,Restaurantes:restaurantes,cabo-san-lucas
4264,06/06/14 18:26,publish,COMICX RESTAURANT BAR AND STORE,"Comicx Restaurant Bar nace durante un verano del 2010, en Hermosillo Sonora. 4 amigos con hambre y ganas de hacer algo diferente, se arriesgaron con la esperanza de cumplir sus sueÌ±os y fusionar dos de sus pasiones: ""la buena comida y el gusto por los cÌ_mics"". Pensando en crear el ambiente ideal para grandes y pequeÌ±os, un lugar para disfrutar con amigos y familia. En sÌ_, crear una atmÌ_sfera Ì¼nica, llena de vida en donde la fantasÌ_a y los buenos recuerdos de la infancia o de la actualidad se encuentren en cada esquina del restaurante. Visitar Comicx es una buena oportunidad para disfrutar de un accesible y sabroso menÌ¼, entrando en la ambientaciÌ_n de los cÌ_mics, donde los mÌÁs famosos villanos y superhÌ©roes desde hace 6 dÌ©cadas hasta hoy rodean todo el restaurante. Y es que åÀquiÌ©n no quisiera pasar un rato agradable entre espectaculares estatuas de tamaÌ±o real, bustos a escala, figuras coleccionables e imÌÁgenes Ì¼nicas de los personajes mÌÁs increÌ_bles del mundo de los comics?
Esto es comicx, un concepto Ì¼nico en restaurante temÌÁtico donde la ambientaciÌ_n nos hace sentir estar dentro de una fantÌÁstica historieta.","Visitar Comicx es una buena oportunidad para disfrutar de un accesible y sabroso menÌ¼, entrando en la ambientaciÌ_n de los cÌ_mics, donde los mÌÁs famosos villanos y superhÌ©roes desde hace 6 dÌ©cadas hasta hoy rodean todo el restaurante.",actividades,closed,closed,Restaurantes:restaurantes,cabo-san-lucas
4256,23/05/14 22:08,publish,ABC,"Descuento del 30% en categorÌ_a base
Descuento de 34% ",,promociones,closed,closed,,
4255,23/05/14 22:04,publish,Hyatt Ziva Los Cabos,"Spring into Summer Sale!
Save 20% PLUS Free Upgrade & Spa Access!",,promociones,closed,closed,,
4254,23/05/14 18:13,publish, Aumenta conectividad aÌ©rea en Los Cabos,"
Se precisÌ_ que en meses recientes se lograron concretar nuevas rutas y en algunos casos mÌÁs frecuencias, lo que se traduce en un mayor volumen de pasajeros que arribarÌÁn al destino. La aerolÌ_nea Sun Country con base en Minneappolis, anunciÌ_ el incremento de sus frecuencias hacia Los Cabos en su temporada invernal (de noviembre a abril) entre cinco y seis vuelos por semana.
Por su parte South West  fortalecerÌÁ los vuelos  hacia Los Cabos a partir del mes de agosto, con dos frecuencias diarias provenientes desde el aeropuerto de Orange County en California.
En tanto AeromÌ©xico contarÌÁ con tres frecuencias diarias hacia Los Cabos en el vuelo proveniente desde la Ciudad de MÌ©xico, incluyendo el que arriba a las 10 de la noche, lo que permitirÌÁ captar vuelos provenientes desde otros destinos nacionales e internacionales.
American Airlines estÌÁ anunciando el incremento en su nÌ¼mero de asientos durante el verano, tal como se hiciera en el verano del 2013.
Delta Airlines confirmo tambiÌ©n la apertura de un nuevo vuelo con una nueva ruta desde John F. Kennedy en Nueva York a Los Cabos a partir del mes de diciembre de 2014 lo que permitirÌÁ aumentar la presencia del destino en la Costa Este de los Estados Unidos que representa aun un gran potencial, asimismo anuncia el  aumento en nÌ¼mero de frecuencias desde las ciudades de Atlanta, Salt Lake City, Detroit y Minneapolis.
Alaska Airlines a su vez, pone en el radar la ruta Seattle-Los Cabos a partir del mes de Octubre con operaciÌ_n diaria; asimismo informa estar en proceso de conseguir los permisos para la incorporaciÌ_n de una nueva ruta con origen en Portland, Oregon que espera dar inicio en en mes de Noviembre 2014.
","En el marco del Tianguis TurÌ_stico  2014, que se realizÌ_ del 6 al 9 de mayo pasado, en CancÌ¼n, Quintana Roo, el Fideicomiso de Turismo de Los Cabos anunciÌ_ una mayor conectividad aÌ©rea en el destino, gracias al arribo de mÌÁs vuelos de diversas aerolÌ_neas nacionales e internacionales.",press-release,closed,closed,,
4253,23/05/14 18:08,publish,Obtiene Los Cabos excelentes resultado durante la ediciÌ_n 39 del Tianguis TurÌ_stico,"El destino figurÌ_ dentro del pabellÌ_n de Baja California Sur, donde se concretaron mÌÁs de 100 citas con la presencia de operadores de Estados Unidos, CanadÌÁ, Europa, Rusia, SudamÌ©rica y Australia.
Eduardo Segura, Director del Fideicomiso TurÌ_stico de Los Cabos (FITURCA) destacÌ_ que ‰ÛÏLos Cabos ha tenido un incremento importante en el nÌ¼mero de llegada de turistas aÌ±o con aÌ±o, gracias al constante crecimiento en oferta aÌ©rea nacional e internacional, acercÌÁndonos cada vez mÌÁs a nuevos mercados y eso nos da muchÌ_simo gusto‰Û.
AgregÌ_ que en este marco se realizÌ_ una conferencia de prensa ante 70 medios de comunicaciÌ_n y periodistas nacionales e internacionales especializados en el sector turÌ_stico, para darles a conocer toda la gama de productos y servicios turÌ_sticos que ofrece Los Cabos.
	
‰ÛÏEn este encuentro, se compartiÌ_ con los periodistas informaciÌ_n sobre la gran oferta hotelera y gastronÌ_mica que ofrece el destino, asÌ_ como de las actividades distintivas como son el golf y la pesca deportiva de primer nivel, turismo de naturaleza y aventura, festivales y eventos turÌ_stico‰ÛÒdeportivos, destacando ademÌÁs temas como es el avistamiento de ballenas, las Misiones y pinturas rupestres, mismos que resultaron de gran interÌ©s para los asistentes‰Û, indicÌ_.
En otro ÌÁmbito, Segura reconociÌ_ que el apoyo de parte de AsociaciÌ_n de Hoteles de Los Cabos, la SecretarÌ_a de Turismo Estatal, del Consejo de PromociÌ_n TurÌ_stica para promover al destino como uno de los mejores de MÌ©xico, hace que se generen resultados positivos. 
","Con excelentes resultados concluyÌ_ la participaciÌ_n de Los Cabos, Baja California en la 39 ediciÌ_n del Tianguis TurÌ_stico que se realizÌ_ del 6 al 9 de mayo en el LakÌÁm Center, situado entre CancÌ¼n y Puerto Morelos, Quintana Roo. ",press-release,closed,closed,,
4252,23/05/14 17:58,publish,Concluye de manera exitosa Cabo Marine Show,"
Este gran evento, que tuvo lugar en IGY Marina Cabo San Lucas ofreciÌ_ una exhibiciÌ_n  de embarcaciones y las mejores marcas de productos, servicios marinos y turÌ_sticos, asÌ_ como exposiciones de arte y entretenimiento en vivo.
La inauguraciÌ_n estuvo presidida por Eduardo Segura, Director del Fideicomiso de Turismo de Los Cabos (FITURCA), Alicia Cota Rojas, Directora de Turismo Municipal de Los Cabos y  Juan Garibaldo Romero Aguilar, Secretario General de la DelegaciÌ_n de Cabo San Lucas.
TambiÌ©n se contÌ_ con la importante presencia de Raoul Chollet RochÌ_n, Delegado Regional de Los Cabos-Loreto FONATUR y Sergio IgartÌ¼a, Fundador y Coordinador de Cabo Marine Show.  
En su momento Eduardo Segura indicÌ_ que ‰ÛÏexposiciones y eventos como Ì©ste son una excelente opciÌ_n para incentivar y atraer al turismo nÌÁutico, y con ello continuar con la labor del fortalecimiento de la imagen del destino‰Û.
Por su parte Alicia Cota Rojas destacÌ_ la gran importancia de contar con un evento tan relevante para la industria nÌÁutica en MÌ©xico; particularmente en los Cabos, destino que por sus servicios turÌ_sticos sigue siendo catalogado como Premier. 
Cabe destacar que durante esta ediciÌ_n se promovieron 20 embarcaciones de pesca deportiva y lujo, ademÌÁs de que participaron expositores como: Pisces Group Cabo, Picante Sportfishing, United Yacht Sales, La Paz Yachts, Emerald Pacific Yachts, Hallmark Yachts Inc., OTADUY Yachts, Brunswick / Mercury Marine, Marine Group Boat Works, Parker Racor y Village Marine Tec. (Comercial Essex), Cabo Flyboard, Security Now MÌ©xico, Torneos Bisbee, Fonmar / Sepesca, Maui Jim Sunglasses, entre otros.
","Del 15 al 17 de mayo se realizÌ_ el Cabo Marine Show en su quinta ediciÌ_n,  donde se dieron cita importantes distribuidores de marcas y tecnologÌ_a de punta del mercado nÌÁutico internacional.",press-release,closed,closed,,
4250,21/05/14 19:06,publish,Inicia cuenta regresiva para Los Cabos Open of Surf,"Los Cabos, Baja California Sur, mayo 2014.- En cuenta regresiva y a poco menos de un mes para Los Cabos Open of Surf, la competencia de 6 estrellas de las series de calificaciÌ_n de la AsociaciÌ_n de Surfistas Profesionales (ASP), mÌÁs importante de LatinoamÌ©rica, contarÌÁ en esta ocasiÌ_n con la participaciÌ_n de mujeres a este evento.
Playa Zippers ya se prepara para recibir del 16 al 22 de junio a los mejores atletas del mundo que practican esta disciplina, convirtiÌ©ndose en un evento histÌ_rico y posicionÌÁndose en la parada del tour mÌÁs importante de LatinoamÌ©rica al contar con la participaciÌ_n de la rama femenil.
Este destino turÌ_stico serÌÁ testigo del desempeÌ±o de atletas ya confirmados como, Josh Kerr, Brett Simpson y Dion Atkinson quienes ocupan actualmente los lugares 7, 34, y 26 respectivamente, del tour mundial de surf.
Otros invitados importantes son, Chris Cote, Strider Wasilewsky, Bengy Wheatherly y Anastasia Ashley, quienes conforman este aÌ±o el panel de comentaristas de la ASP, brindando con sus puntos de vista un toque tÌ©cnico, social y descriptivo a la transmisiÌ_n en vivo de Los Cabos Open of Surf.
Para cerrar con broche de oro esta parada del tour de las series de calificaciÌ_n en MÌ©xico, ambientarÌÁ el grupo musical ‰ÛÏLos Amigos Invisibles‰Û directamente desde Venezuela y ganadores de un Grammy latino, quienes deleitarÌÁn con su ritmo a los asistentes y le darÌÁn un mayor realce a este evento. 
Los Cabos Open of Surf es patrocinado por el Fideicomiso de Turismo de Los Cabos, y este aÌ±o contarÌÁ con la participaciÌ_n de importantes marcas tales como Monster Energy, Cerveza Pacifico, y la marca de surf Vissla, que hace su debut en el mercado de ropa y accesorios de surf. 
Se espera seguir, como en la primera ediciÌ_n de este evento, con el rÌ©cord de audiencia de transmisiÌ_n en vivo vÌ_a Live Streaming y mantener los estÌÁndares de calidad y producciÌ_n que clasificÌ_ a Los Cabos Open of Surf como uno de los mejores eventos a nivel internacional, por el medio Sports Travel.
 Esta ocasiÌ_n para dar exposiciÌ_n a travÌ©s de este evento, a este bello destino turÌ_stico, contaremos con la presencia de medios como FOX Sports, Space Chanel, asÌ_ como medios digitales e impresos como las revistas Transworld, Surfer Magazine y uno de los portales mÌÁs importantes de pronÌ_stico de olas como lo es Surfline, entre otros medios que se siguen aÌ±adiendo a la lista de invitados que darÌÁn una completa y masiva difusiÌ_n a Los Cabos Open of Surf.
 Los Cabos, se encuentra al sur del Estado de Baja California Sur, la capacidad hotelera de este destino turÌ_stico, actualmente es de 13,000 habitaciones registradas y cuenta con una conectividad aÌ©rea de 3,457 vuelos nacionales y 6,728 vuelos internacionales, teniendo conexiÌ_n con 24 ciudades por medio de 17 aerolÌ_neas nacionales e internacionales.
 
Los Cabos Open of Surf serÌÁ transmitido en vivo a travÌ©s de www.loscabosopenofsurf.com
Para obtener informaciÌ_n adicional iniciar sesiÌ_n en www.aspworldtour.com
InformaciÌ_n adicional del destino turÌ_stico en http://www.visitmexico.com/es/los-cabos
","
‰Û¢	Del 16 al 22 de junio se realizarÌÁ la segunda ediciÌ_n 
‰Û¢	Un hecho histÌ_rico es que habrÌÁ competencia femenil
",press-release,closed,closed,,
4248,21/05/14 18:50,publish,Concluye segunda etapa del torneo de Golf ‰ÛÏMercedes Trophy‰Û,"Los Cabos fue la segunda etapa de este torneo de golf que cuenta con 12 
aÌ±os de tradiciÌ_n en MÌ©xico y 25 aÌ±os a nivel mundial. 
 
Con un total de 70 participantes, el torneo con salida en escopetazo, arrancÌ_ 
en punto de las 8:00am. Con un formato Medal Play con dos categorÌ_as, se 
celebrÌ_ el que es sin duda el mejor torneo Amateur de nuestro paÌ_s. 
 
Resultaron ganadores Arturo Almeida, en la categorÌ_a 14-36 hÌÁndicap, con 61 
tiros; y Rafael Hiromo Tsutsui, en la categorÌ_a 0-13 hÌÁndicap, con 70 tiros. 
Ambos representarÌÁn a Los Cabos en la final nacional que se llevarÌÁ a cabo en 
la Riviera Maya, en Agosto del presente aÌ±o. Y a su vez, el vencedor nacional, 
se irÌ_a a la final mundial en Stuttgart en Alemania. 
 
En rueda de prensa, el Director del Fideicomiso de Turismo de Los Cabos 
(Fiturca), Eduardo Segura, aseverÌ_ la importancia que tiene para el destino la 
alianza con una marca como Mercedes-Benz. 
 
Por su parte MarÌ_a Ulloa, gerente de la sucursal Mercedes-Benz en Los Cabos, 
reiterÌ_ el agradecimiento al patrocinio del Fiturca, ya que sin este no habrÌ_a 
sido posible. 
 
Para JosÌ© Monetti, Director de Expertees, operadora oficial de la gira en 
MÌ©xico y LatinoamÌ©rica, fue un privilegio concretar esta alianza con Los 
Cabos, el destino mÌÁs importante de Golf en el paÌ_s, que asegura la gira dos 
aÌ±os mÌÁs y la final nacional en 2016. 
En su momento, Nubia Sarabia, Coordinadora de Golf de Fiturca, dio a 
conocer los detalles de la alianza Mercedes Trophy ‰ÛÒ Los Cabos, que arrancÌ_ 
con este primer torneo en el club de Golf Palmilla, diseÌ±ado por Jack 
Nicklaus, que ofrece 27 hoyos espectaculares con una combinaciÌ_n desierto, 
ocÌ©ano y montaÌ±a. En este momento se cuenta con la confirmaciÌ_n del 
tradicional Campo de golf Cabo Real, como sede para la etapa 2015. 
 
En cuanto a la sede para el 2015 y final Nacional para el 2016, se tiene 
contemplado al campo de golf Quivira. 
 
AsÌ_ mismo, Sarabia aseverÌ_ que Los Cabos hoy por hoy es uno de los pocos 
destinos en el mundo que cuenta con el privilegio de anunciar tres aperturas 
de campos de golf de alto nivel: Chileno Bay, Quivira y El Cardonal en 
Diamante, siendo el Ì¼ltimo el primer campo de golf de Tiger Woods. 
GeografÌ_a inigualable, clima idÌ_neo para el deporte de los bastones y 
diseÌ±adores de renombre, con un total de 14 campos de golf, hacen de Los 
Cabos el mejor destino de golf de LatinoamÌ©rica. 
 
Sobre el torneo 
 
Hay que seÌ±alar que Mercedes-Benz MÌ©xico se incorporÌ_ al Mercedes Trophy 
como muestra de agradecimiento para sus clientes y amigos; y en estos aÌ±os 
han vivido la experiencia mÌÁs de 7 mil 200 jugadores. 
 
Este prestigiado y exclusivo torneo es una herramienta, muy exitosa, que 
permite establecer un estrecho contacto con un pÌ¼blico muy selecto. 
 
Hoy despuÌ©s de una dÌ©cada de competencia y pasiÌ_n que ha revelado aÌ±o 
tras aÌ±o jugadores cada vez mÌÁs talentosos, el Mercedes-Benz Trophy ofrece 
a los participantes la oportunidad de asistir al Open Championship, tambiÌ©n 
conocido como ‰ÛÏThe British Open‰Û o ‰ÛÏThe Open‰Û. 
El torneo cuenta con las categorÌ_as: Damas 0 a 36 handicap; Hombres 0 a 13 y 
14 a 36 de hÌÁndicap. En la Final Mundial, que se llevarÌÁ a cabo en Stuttgart 
Alemania y donde participarÌÁn mÌÁs de 30 paÌ_ses, se presentarÌÁ a los tres 
mejores jugadores de MÌ©xico. 
","Los Cabos, Baja California Sur, Mayo 2014.- El pasado 17 de Mayo, el 
prestigiado campo de golf Palmilla fue anfitriÌ_n del Mercedes Trophy, que 
por cuarto aÌ±o consecutivo se lleva a cabo en el destino. 
",press-release,closed,closed,,
4246,19/05/14 21:04,publish,Questro Golf Promos,"<strong>PROMOCION FOURSOM</strong>
DESPUES DE LAS 11:00 AM
Cabo Real $620 USD
Club Campestre San Jose $480 USD
Puerto Los Cabos $680 USD
<em>PromociÌ_n exclusiva para Foursomes. No es combinable con otras promociones especiales o cupones. Sujeto a disponibilidad.</em>
<strong>PROMOCION PASE DE GOLF</strong>
FINALMENTE UNA MANERA ACCESIBLE PARA JUGAR GOLF EN LOS CABOS
Pase de 2 Rondas $330 USD
Pase de 3 Rondas $450 USD
Pase de 5 Rondas $700 USD
LAS RONDAS PUEDEN SER USADAS EN CUALQUIERA DE NUESTROS 3 CAMPOS DE QUESTRO GOLF
<em>** En Puerto Los Cabos se aplicarÌÁ un cargo adicional de $20 USD por persona que incluye estaciones de comida y bebida (Bar abierto).</em>
MIENTRAS DISFRUTA SU RONDA,åÊ<strong>APROVECHE NUESTRA TARJETA DE ALIMENTOS Y BEBIDAS</strong>
5 BEBIDAS Y UN PLATILLO DE NUESTRO MENÌ_
CABO REAL GOLF CLUB $40 USD
CLUB CAMPESTRE SAN JOSE $35 USD
åÁPERFECTO PARA COMPARTIR!
<em>Incluye bebidas no-alcohÌ_licas, cervezas Bar Internacional</em>
CONTÌCTENOS
RESERVATIONS@QUESTROGOLF.COM
LOCAL: 011 52 624 173 9400 / TOLL FREE USA: 1877 795 8727 ‰Û¬/ TOLL FREE MÌäXICO: 01800 543 2044 /
TOLL FREE CANADA: 1800 418 8573
WWW.QUESTROGOLF.COM",,page,open,open,,
